project_id,Project Name,Voluntary Registry,Voluntary Status,Scope,Type,Reduction / Removal,Methodology / Protocol,Region,Documents,Country,State,Project Site Location,Project Developer,Total Credits Issued,Total Credits Retired,Total Credits Remaining,CCB / Certifications,Project Owner,Offset Project Operator,Authorized Project Designee,Verifier,Registry / ARB,Project Listed,Project Registered,Project Type,Registry Documents,Project Website,Project Images,10% of Total Credits Issued
GS10813,Biogas Support Program - Nepal Activity-4,GOLD,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,South Asia,,Nepal,,,Alternative Energy Promotion Centre,136047,0,136047,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2162,https://registry.goldstandard.org/projects/details/2770,https://www.wpd.de/en/wp-content/uploads/sites/2/2021/08/Users-with-wpd-Badges-9-3000x4000.jpg,13604.7
GS10821,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA001,GOLD,Gold Standard Certified Project,Household & Community,Bundled Energy Efficiency,Reduction,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,South Asia,,India,,,Greenway Grameen Infra Private Limited,67737,0,67737,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2167,https://registry.goldstandard.org/projects/details/2778,https://projects.pointzero.net/wp-content/uploads/2023/01/Nepal-Cookstoves-VCM1863_photo-1.jpg,6773.700000000001
GS10823,Solar Drip Irrigation for Smallholder Farmers in Morocco,GOLD,Gold Standard Certified Project,Renewable Energy,Solar - Distributed,Reduction,AMS-I.A. Electricity generation by the user,North Africa,,Morocco,,,atmosfair gGmbH,760,0,760,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2168,https://registry.goldstandard.org/projects/details/2780,https://www.preo.org/wp-content/uploads/2023/09/ClearSky-Powers-solar-drip-irrigation-project.jpg,76.0
GS10825,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA002,GOLD,Gold Standard Certified Project,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,South Asia,,India,,,Greenway Grameen Infra Private Limited,56115,0,56115,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2170,https://registry.goldstandard.org/projects/details/2814,https://atlasofthefuture.org/wp-content/uploads/2016/01/10409653_739544702755397_9027429819174293166_n.jpg,5611.5
GS10826,GS5047 VPA50 African Improved Cookstoves and Clean Water Programme: Ibanda - Makera Forest Cook Stove Project I,GOLD,Gold Standard Certified Project,Household & Community,Cookstoves,Reduction,GS TPDDTEC v3.1,Sub Saharan Africa,,Rwanda,,,Likano Project Development GmbH,9032,"1,003",8029,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2171,https://registry.goldstandard.org/projects/details/2815,https://marketplace.goldstandard.org/cdn/shop/files/JJM_5575.jpg?v=1688621131,903.2
GS10827,GS5047 VPA51 African Improved Cookstoves and Clean Water Programme: Ibanda - Makera Forest Cook Stove Project II,GOLD,Gold Standard Certified Project,Household & Community,Cookstoves,Reduction,GS TPDDTEC v3.1,Sub Saharan Africa,,Rwanda,,,Likano Project Development GmbH,6232,0,6232,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2172,https://registry.goldstandard.org/projects/details/2816,https://marketplace.goldstandard.org/cdn/shop/files/JJM_5575.jpg?v=1688621131,623.2
GS10828,GS5047 VPA52 African Improved Cookstoves and Clean Water Programme: Ibanda - Makera Forest Cook Stove Project III,GOLD,Gold Standard Certified Project,Household & Community,Cookstoves,Reduction,GS TPDDTEC v3.1,Sub Saharan Africa,,Rwanda,,,Likano Project Development GmbH,3882,134,3748,,,,,,GOLD,,,Solar Thermal - Electricity,https://platform.sustain-cert.com/public-project/2173,https://registry.goldstandard.org/projects/details/2817,https://scatec.com/wp-content/uploads/sites/7/2019/02/Scatec-Solar-ASA-Annual-Report-2014.jpg,388.20000000000005
GS10830,Zorlu Enerji Wind Project (GS3946 CER to VER conversion),GOLD,Gold Standard Certified Project,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,South Asia,,Pakistan,,,Zorlu Enerji Pakistan Limited,7500,0,7500,,,Zorlu Enerji Pakistan Limited,,,GOLD,,,Biogas - Heat,https://platform.sustain-cert.com/public-project/2175,https://registry.goldstandard.org/projects/details/2819,https://www.zorluenerji.com.tr/uploads/img/project/gokcedag-relokasyon-ruzgar-enerji-santrali.jpg,750.0
GS10866,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 017,GOLD,Gold Standard Certified Project,Household & Community,Cookstoves,Reduction,GS MS Simplified Methodology for Efficient Cookstoves v1.,South East Asia,,Myanmar,,,Soneva Foundation,7296,0,7296,,,,,,GOLD,,,Biogas - Heat,https://platform.sustain-cert.com/public-project/2179,https://registry.goldstandard.org/projects/details/2823,https://marketplace.goldstandard.org/cdn/shop/products/15587134245_4a3aee27a3_o.jpg?v=1604591773,729.6
GS10879,Orb Energy Solar Program In India - VPA06,GOLD,Gold Standard Certified Project,Renewable Energy,Solar - Distributed,Reduction,AMS-I.C. Thermal energy production with or without electricity,South Asia,,India,,,Orb Energy Private Limited,77633,0,77633,,,,,,GOLD,,,Energy Efficiency - Agriculture Sector,https://platform.sustain-cert.com/public-project/2189,https://registry.goldstandard.org/projects/details/2836,"https://m.economictimes.com/thumb/msid-94681232,width-1600,height-900,resizemode-4,imgsize-234962/solar-.jpg",7763.3
GS10886,â€œCommonland African Improved Cookstove Programme - VPA 01 (Peace Parks and Simalaha Community Conservancy)â€,GOLD,Gold Standard Certified Project,Household & Community,Cookstoves,Reduction,GS TPDDTEC v3.1,Sub Saharan Africa,,Zambia,,,Commonland B.V.,78329,"51,028",27301,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2193,https://registry.goldstandard.org/projects/details/2843,https://commonland.com/wp-content/uploads/2023/01/Screenshot-2023-01-17-at-14.01.56.png,7832.900000000001
GS10887,"Methane Recovery and Biogas Utilization Project, Nghe An Province, Vietnam",GOLD,Gold Standard Certified Project,Waste Management,Methane Recovery in Wastewater,Reduction,AMS-I.C. Thermal energy production with or without electricity,South East Asia,,Vietnam,,,AGASCO Limited,37350,0,37350,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2194,https://registry.goldstandard.org/projects/details/2876,https://www.myclimate.org/fileadmin/user_upload/myclimate_-_home/01_Information/05_Climate_protection_projects/0_klimaschutzprojekte/vietnam-7229/myclimate-carbon-offset-project-7229-biogas-Vietnam-LEAD-als-Sliderformat.jpg,3735.0
GS10888,"Methane Recovery and Biogas Utilization Project, Yen Bai Province, Vietnam",GOLD,Gold Standard Certified Project,Waste Management,Methane Recovery in Wastewater,Reduction,AMS-I.C. Thermal energy production with or without electricity,South East Asia,,Vietnam,,,AGASCO Limited,39089,8,39081,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2195,https://registry.goldstandard.org/projects/details/2877,https://www.myclimate.org/fileadmin/user_upload/myclimate_-_home/01_Information/05_Climate_protection_projects/0_klimaschutzprojekte/vietnam-7229/myclimate-carbon-offset-project-7229-biogas-Vietnam-3.jpg,3908.9
GS10897,Rwanda Kamonyi District Clean Water Project I,GOLD,Gold Standard Certified Project,Household & Community,Clean Water,Reduction,GS TPDDTEC v3.1,Sub Saharan Africa,,Rwanda,,,"Guangzhou Iceberg Environmental Consulting Services Co., Ltd",2827,0,2827,,,,,,GOLD,,,Energy Efficiency - Domestic,https://platform.sustain-cert.com/public-project/2201,https://registry.goldstandard.org/projects/details/2886,https://africachinareview.com/wp-content/uploads/2021/11/uuuuu.jpg,282.7
